,Original,Summary
2086,Top Apps,Top Apps
2087,Terbaik,Terbaik
2088,gak kecewa tokped,gak kecewa tokped
2089,Cepat lancar,Cepat lancar
2090,Keren sih,Keren sih
2091,Buruk proses,Buruk proses
2092,Mmcmdkd nnsn,Mmcmdkd nnsn
2093,Biaya,Biaya
2094,Yesss memuaskan,Yesss memuaskan
2095,ok transaksi aman,ok transaksi aman
2096,belanja Tokopedia memuaskan penjualnya Percaya,belanja Tokopedia memuaskan penjualnya Percaya
2097,aplikasi mantabbb biar ga ga kena tipu tipu,aplikasi mantabbb biar ga ga kena tipu tipu
2098,Penarikan cepat,Penarikan cepat
2099,Kebanyakan pengenaan biaya customer biaya jasa aplikasi 2000 gokil Gratis ongkir yg gratis ongkir chat cs memuaskan jawabannya,Gratis ongkir yg gratis ongkir chat cs memuaskan jawabannya
2100,Tampilannya simple enak,Tampilannya simple enak
2101,Dimanaoun hati,Dimanaoun hati
2102,Bertahun aplikasi,Bertahun aplikasi
2103,Aplikasi keren,Aplikasi keren
2104,Mudah cashback,Mudah cashback
2105,membantu,membantu
2106,Mantap Toped,Mantap Toped
2107,Love,Love
2108,apapun toped dicicil 2 thn bunga 0 persen ngebantu banget pd ngisi rmh sm toped gamau olshop makasih toped,apapun toped dicicil 2 thn bunga 0 persen ngebantu banget pd ngisi rmh sm toped gamau olshop makasih toped
2109,best app,best app
2110,Memudahkan banget,Memudahkan banget
2111,Tokped terbaik,Tokped terbaik
2112,Gacorrrrr,Gacorrrrr
2113,Mantap indo,Mantap indo
2114,App mantap,App mantap
2115,Fast clear,Fast clear
2116,OL shoop mudah tersedia hadiah menarik harinya Thanks,Thanks
2117,Best far,Best far
2118,Penarikan refund cepat,Penarikan refund cepat
2119,pake tokped puas kendala semoga maju membantu perekonomian rakyat indonesia,pake tokped puas kendala semoga maju membantu perekonomian rakyat indonesia
2120,Mantaappp applikasi shopping yg rekomended interfacenya mudah dipahami ecommerce,Mantaappp applikasi shopping yg rekomended interfacenya mudah dipahami ecommerce
2121,super helpfull app transaction,super helpfull app transaction
2122,Great apps online shopping,Great apps online shopping
2123,Thanks tokopedia udah memperluas jaringan olshop,Thanks tokopedia udah memperluas jaringan olshop
2124,Lancar jaya aplikasinya hang,Lancar jaya aplikasinya hang
2125,Great apps Easy use betah belanja tokopedia Sukses ya toped,Sukses ya toped
2126,Great app best service,Great app best service
2127,Nice apps,Nice apps
2128,terima kasih ya pengguna ios menunggu tokopedia ios semoga kualitasnya disesuaikan ditingkatkan menerus,semoga kualitasnya disesuaikan ditingkatkan menerus
2129,TOP easy shopping plus payment sy bs kontrol pembelanjaan pembayaran keren TOP inovatif,sy bs kontrol pembelanjaan pembayaran keren TOP inovatif
2130,help life time thanks alot tokopedia,thanks alot tokopedia
2131,Mantappppppp,Mantappppppp
2132,Goood appss,Goood appss
2133,Mantap tp kadang promonya hy utk cicilan,Mantap tp kadang promonya hy utk cicilan
2134,Barang pengiriman cepat,Barang pengiriman cepat
2135,Pelayanan costumer service respon cepat,Pelayanan costumer service respon cepat
2136,Cooll apps,Cooll apps
2137,Tokopedia terpercaya,Tokopedia terpercaya
2138,Good app andalan belanja,Good app andalan belanja
2139,Mudah simple bagus,Mudah simple bagus
2140,Tokped Mania Mantapp,Mantapp
2141,Pemesanan cepat efisien membantu belanja pandemi covid,Pemesanan cepat efisien membantu belanja pandemi covid
2142,lengkap,lengkap
2143,Aman pelacakan pesanan mudah terpercaya,Aman pelacakan pesanan mudah terpercaya
2144,Aplikasi belanja online bagus cepat mudah pemakaiannya,Aplikasi belanja online bagus cepat mudah pemakaiannya
2145,Goddd mantapp,Goddd mantapp
2146,Jasa kurir lambat JNE tokopedia tindakan signifikan normatif Menunggu Tokopedia mementingkan kerjasama JNe menghasilkan duit melindungi alis menjilat bandingkan menjaga kepuasan konsumen,Tokopedia mementingkan kerjasama JNe menghasilkan duit melindungi alis menjilat
2147,Mudah Pembayaran mudah Ongkir cepat menemukan barang yg cari,Pembayaran mudah
2148,Byk penawaran discount,Byk penawaran discount
2149,Aplikasi memudahkan belanja terima kasih Tokopedia,kasih Tokopedia
2150,udah terdabeesstt pokonyaa,nan
2151,ditipu seller Penanganan tokopedia care berteletele Uang refund Seller berkelit memperumit proses Tokopedia care modal ngikutin SOP gapake otak Ga memutuskan ngasih solusi Bukti udah nyata seller penipu tokopedia care aja nanya respon seller refund ngga Ya penipu gamau refund laaaah bego,Ga memutuskan ngasih solusi
2152,Masaa kirim video unbox ajaa susah bener aplikasinya ngehang trs chat room kalo sediaakan opsi kirim video komplain tokonya susahh develop applikasi udh sistem komplain ngehang gini,Masaa kirim video unbox ajaa susah bener aplikasinya ngehang trs chat room kalo sediaakan opsi kirim video komplain tokonya susahh develop applikasi udh sistem komplain ngehang gini
2153,favorite online mall application jasa aplikasinya mahaal,favorite online mall application jasa aplikasinya mahaal
2154,Nomor 1 Indonesia,Nomor 1 Indonesia
2155,Aplikasi membantu,Aplikasi membantu
2156,Mudah mencari barang dgn membaca Review menentukan pilihan,Mudah mencari barang dgn membaca Review menentukan pilihan
2157,Tokopedia,Tokopedia
2158,Withdraw process simple quick Recommend sue user friendly apps,Recommend sue user friendly apps
2159,membantu berguna,membantu berguna
2160,Mantap Lanjutkan,Mantap Lanjutkan
2161,appreciate simplicity UX looking vendor shopping payment shipping smooth Even paylater service intégration layered complicated,Even paylater service intégration layered complicated
2162,Aplikasi yg membantu,Aplikasi yg membantu
2163,Mantapsssss,Mantapsssss
2164,Make life easier,Make life easier
2165,used apps last couple years indeed much reliable compare others Feel safe secure doin transactions,Feel safe secure doin transactions
2166,u purchase almost anything safely,u purchase almost anything safely
2167,satisfied,satisfied
2168,Cepat aman simple,Cepat aman simple
2169,dapet ongkir pengiriman cepet bgt,dapet ongkir pengiriman cepet bgt
2170,app running smoothly iPad ease look many items seamlessly great,ease look many items seamlessly
2171,suka dgn kemudahan berbelanja dgn aplikasi tokopedia tp blm coba paylater yg memudahkan lg belanja tnp kartu kredit,suka dgn kemudahan berbelanja dgn aplikasi tokopedia tp blm coba paylater yg memudahkan lg belanja tnp kartu kredit
2172,terimakasih tokopedia terkadang keranjang belanjaan penuh checkout barang kadang suka ngelag tp termaafkan ko cashback pengurangan biaya jsa aplikasi semoga mendengar jeritan hati user yaa top nomor 1 ecommerce negeri yg pilihan utama berbelanja thanks barakallah,terimakasih tokopedia terkadang keranjang belanjaan penuh checkout barang kadang suka ngelag tp termaafkan ko cashback pengurangan biaya jsa aplikasi semoga mendengar jeritan hati user yaa top nomor 1 ecommerce negeri yg pilihan utama berbelanja thanks barakallah
2173,Mudah cpt,Mudah cpt
2174,Produk produknya berkualitas,Produk produknya berkualitas
2175,far good lahh,far good lahh
2176,Tokopedia great customer friendly app multiple delivery methods great discount sometimes useful,Tokopedia great customer friendly app multiple delivery methods great discount sometimes useful
2177,Best,Best
2178,Promo gila gopay tokped,Promo gila gopay tokped
2179,good,good
2180,Cepat mudah responsive thd keluhan,Cepat mudah responsive thd keluhan
2181,Loveee,Loveee
2182,Tokped oke,nan
2183,,
2184,Edann,Edann
2185,Skrg seneng belanja TOKOPEDIA dulunya belanja toko sebelah karna promo ditawarkan tokopedia bagus,Skrg seneng belanja TOKOPEDIA dulunya belanja toko sebelah karna promo ditawarkan tokopedia bagus
2186,nan,nan
2187,belanja tokopedia,belanja tokopedia
2188,Lumayan oke improvement nya yg gak suka laman checkoutnya tricky asuransi elektroniknya auto chekbox,Lumayan oke improvement nya yg gak suka laman checkoutnya tricky asuransi elektroniknya auto chekbox
2189,Test,Test
2190,puas belanja Tokopedia,puas belanja Tokopedia
2191,Mantap Lancarr,Mantap Lancarr
2192,Good shopping,Good shopping
2193,Tokopedia Mantap,Tokopedia Mantap
2194,UI bagus mudah akses,UI bagus mudah akses
2195,Always good delivery quality product,Always good delivery quality product
2196,proses pencairan cepat klo potonganya turunin,proses pencairan cepat klo potonganya turunin
2197,Tokopedia always first app open look something rarely disappoints,rarely disappoints
2198,like using Tokped pity used better think Tokped needs enforce rules game vendors Nowadays 1 3 orders fail reasons 1 Nobody takes stock function serious Vendors update current stock often orders get canceled reality product available 2 Auto replies ask stock available time get automatic reply saying everything stock meaningless often case 3 Multiple ads Vendors offer product 50 times different prices Extremely annoying 4 Preorder Vendors often make clear order shipped China even ask product ready simply tell ready fail mention Chinese warehouse 5 Forced 5 star ratings Vendors force rate services 5 stars otherwise block absolutely ridiculous sabotages checks balances system good opportunity give feedback would great get reply,reasons 1
2199,damn good easy keep good work,keep good work
2200,Cepat mudah,Cepat mudah
2201,promo,promo
2202,mantap kali,mantap kali
2203,Bonus tambahain tokped supya ongkirnya gratisss,Bonus tambahain tokped supya ongkirnya gratisss
2204,Nice banget,Nice banget
2205,cukupp baguss,cukupp baguss
2206,Mantap trims,Mantap trims
2207,Bbshdhshvzhhzjz,Bbshdhshvzhhzjz
2208,Doyan belanja E commerce,Doyan belanja E commerce
2209,BaeJua,BaeJua
2210,Belanja Tokopedia bayar pakai gopay praktis efisien Mantap,Mantap
2211,Pesan Tokopedia murah,Pesan Tokopedia murah
2212,browsing tokped diatas 30 menit ngelag freeze crash Tolong diperbaiki hp spec kentang,Tolong diperbaiki hp spec kentang
2213,Tampilan Simple cari aja Harganya bervariasi Pilihannya pembayarannya mudah,Pilihannya pembayarannya mudah
2214,Aplikasinya bagus ga lemot halus sayang biaya layanan promo jg terbatas tdk,Aplikasinya bagus ga lemot halus sayang biaya layanan promo jg terbatas tdk
2215,Biaya penggunaan aplikasi Wwhooooaaaaaa bad decision Pindah orange aja,Pindah orange aja
2216,ratingnya aja si,ratingnya aja si
2217,Trusted excellent service,Trusted excellent service
2218,Butuh tinggal buka apps beres,Butuh tinggal buka apps beres
2219,Promo bebas ongkir terbatas tanggal barang mundur,Promo bebas ongkir terbatas tanggal barang mundur
2220,helps stream,helps stream
2221,believe try sit relax,believe try sit relax
2222,Tokopedia terpercaya keren,Tokopedia terpercaya keren
2223,Cepet mantapp,Cepet mantapp
2224,tingkatkan perlindungan konsumen meningkatkan standar toko tingkatan standar jasa pengiriman utk mengurangi kerusakan barang,tingkatkan perlindungan konsumen meningkatkan standar toko tingkatan standar jasa pengiriman utk mengurangi kerusakan barang
2225,Superr,Superr
2226,Mudah n cepat pembayaran nya,Mudah n cepat pembayaran nya
2227,Gooddd,Gooddd
2228,pilihan produk berkualitas,pilihan produk berkualitas
2229,,
2230,Keren bangetlah,Keren bangetlah
2231,Good app,nan
2232,Lumayan promo,Lumayan promo
2233,far good,far good
2234,belanja pakai tokopedia,belanja pakai tokopedia
2235,Trmksh mempermudah dana,Trmksh mempermudah dana
2236,Tambahkan firtur touchID faceID verification payment,Tambahkan firtur touchID faceID verification payment
2237,Terbaiiiikkk,Terbaiiiikkk
2238,Transaksi aman,Transaksi aman
2239,Toped keren vouchernya,Toped keren vouchernya
2240,Cepat euy transaksinya,Cepat euy transaksinya
2241,Best Apps,Best Apps
2242,Pelayanan customer service membantu belanja aman jualan aman Trima kasih tokopedia,Pelayanan customer service membantu belanja aman jualan aman Trima kasih tokopedia
2243,nan,nan
2244,Pokoknya mantap habislah Toped cash back,Pokoknya mantap habislah Toped cash back
2245,Produk sesuai deskripsi pengiriman cepat admin asyik,Produk sesuai deskripsi pengiriman cepat admin asyik
2246,jaga quality product2 nya pastikan original product,jaga quality product2 nya pastikan original product
2247,5 star keep improved,keep improved
2248,good happy,good happy
2249,Toped ok bgt belanja OL sifatnya pmbyran tagihan bulanan listrik air pulsa dll semoga promo disc cash back nya,Toped ok bgt belanja OL sifatnya pmbyran tagihan bulanan listrik air pulsa dll semoga promo disc cash back nya
2250,Good aplikasinya nih cm trkadang msh suka bugsnya,Good aplikasinya nih cm trkadang msh suka bugsnya
2251,Mantab good,Mantab good
2252,Memudahkan best app shopping Indonesia,Memudahkan best app shopping Indonesia
2253,Semoga promo gratis ongkir yg benar2 gratis,Semoga promo gratis ongkir yg benar2 gratis
2254,Tokopedia kerennn banget,Tokopedia kerennn banget
2255,Scroll lag feed Video terputar otomatis setting,Video terputar otomatis setting
2256,puas,puas
2257,Terima kasih toped Yg bantu belanja rumah cek harga barang Yg,Terima kasih toped Yg bantu belanja rumah cek harga barang Yg
2258,Mantappp pokoknya,Mantappp pokoknya
2259,Mantabs,Mantabs
2260,GUI nya nyaman dimata proses ga rewel wat wet lossshhh xie xie toped,GUI nya nyaman dimata proses ga rewel wat wet lossshhh xie xie toped
2261,Mantap bingits,Mantap bingits
2262,Nyaman Belanja Online TOKOPEDIA,Nyaman Belanja Online TOKOPEDIA
2263,Good,Good
2264,semangat ya,semangat ya
2265,userfriendly,userfriendly
2266,Simple praktis ga raybet,Simple praktis ga raybet
2267,Kerrrrrrreeeennnn iihh cepat layanannya secure Thanks Tokopedia,Thanks Tokopedia
2268,Mudah nyaman cashback,Mudah nyaman cashback
2269,Aplikasi belanja yg ok,Aplikasi belanja yg ok
2270,Thumbs,Thumbs
2271,useful,useful
2272,Keep product quality,Keep product quality
2273,Toped dihati,Toped dihati
2274,member Plus kurir sameday pesanan 2 sampe,member Plus kurir sameday pesanan 2 sampe
2275,helpfull sometime bad delivering expedition honestly always better sh0p33,helpfull sometime bad delivering expedition honestly always better sh0p33
2276,Best apps shopping Keep,Keep
2277,Glad use Tokopedia start easy ok,ok
2278,Sy memakai Tokopedia pandemi Sy puas utk pelayanannya Bravo Tokopedia,Sy puas utk pelayanannya
2279,Puas tokopedia UI nya seru jasa aplikasinya mahal _,Puas tokopedia UI nya seru jasa aplikasinya mahal _
2280,Belanja mudah murah bahagia,Belanja mudah murah bahagia
2281,Semogah Amanah,Semogah Amanah
2282,Memudahkan mencari barang,Memudahkan mencari barang
2283,Aplikasi belanja ga ribet,Aplikasi belanja ga ribet
2284,Tinggal klik bayar beres,Tinggal klik bayar beres
2285,Simple app great performance trusted,Simple app great performance trusted
2286,Manteb banget Tokopedia,Manteb banget Tokopedia
2287,Mantap top markotop,Mantap top markotop
2288,berkembang evaluasi meningkatkan pelayanan,berkembang evaluasi meningkatkan pelayanan
2289,Thans tokopedia,Thans tokopedia
2290,Impresive sangatt membantu,Impresive sangatt membantu
2291,Top emoney langsung josss masuk sdh gitu dpt cashback,Top emoney langsung josss masuk sdh gitu dpt cashback
2292,akun resmi perusahaan apresiasi kpd tokopedia sukses menyelenggarakan kegiatan ekosistem jual beli aman nyaman terpercaya harga kompetitif,akun resmi perusahaan apresiasi kpd tokopedia sukses menyelenggarakan kegiatan ekosistem jual beli aman nyaman terpercaya harga kompetitif
2293,best online shopping,best online shopping
2294,happy seh Jasa Aplikasi pulak,happy seh Jasa Aplikasi pulak
2295,one marketplace always visit try buy something lancar,one marketplace always visit try buy something lancar
2296,gampang pakenya keep,gampang pakenya keep
2297,pilihan terpercaya,pilihan terpercaya
2298,promo,promo
2299,Good Appa,Good Appa
2300,terbaikkk,terbaikkk
2301,Tampilannya bagus ga bikin sakit mata Ga kebanyakan notifikasi Sukses Tokped,Ga kebanyakan notifikasi
2302,Gojek membantu keseharian Semoga tersedia wilayah kab Luwu timur sulawesi selatan soalx disana angkot ojek Jd online memudahkan,Semoga tersedia wilayah kab
2303,Mantapppp,Mantapppp
2304,nulis review app gitu garagara sayang banget tokped nulis deh HEHEHE seneng banget promopromo suka dapet cashbackk,nulis review app gitu garagara sayang banget tokped nulis deh HEHEHE seneng banget promopromo suka dapet cashbackk
2305,nice work,nice work
2306,Joos,Joos
2307,Admin buyer seller mahal,Admin buyer seller mahal
2308,slalu tokopedia dlm transaksi pembelian aplikasi yg bgs mantap slalu free ongkos kirim,slalu tokopedia dlm transaksi pembelian aplikasi yg bgs mantap slalu free ongkos kirim
